"Gift message for order items is not allowed.","Gift message for order items is not allowed."
"Required parameter ""%1"" is missing","Required parameter ""%1"" is missing"
"Gift message for order item was applied.","Gift message for order item was applied."
"Gift message for whole order is not allowed.","Gift message for whole order is not allowed."
"Gift message for whole order was applied.","Gift message for whole order was applied."
"Additional fields were saved.","Additional fields were saved."
"Delivery date is not allowed.","Delivery date is not allowed."
"Delivery date was changed.","Delivery date was changed."
"Gift wrap is not allowed.","Gift wrap is not allowed."
"Gift wrap status was changed.","Gift wrap status was changed."
