"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Current Url(Default Magento Breadcrumbs)","Current Url(Default Magento Breadcrumbs)"
"Last Visited Category","Last Visited Category"
"URL Level Depth","URL Level Depth"
"Number of Characters","Number of Characters"
"Shortest Path","Shortest Path"
"Longest Path","Longest Path"
"Default Rules","Default Rules"
"Url without Categories","Url without Categories"
"SEO Single URL","SEO Single URL"
Information,Information
General,General
"Use Categories Path for Product URLs","Use Categories Path for Product URLs"
"Categories Path in Product URL","Categories Path in Product URL"
By,By
"301 Redirect To Canonical Url","301 Redirect To Canonical Url"
"Redirect from secondary URLs to the main canonical URL","Redirect from secondary URLs to the main canonical URL"
"Exclude Category from Product Url","Exclude Category from Product Url"
"You can set categories, URL path to which will not be used in product URL","You can set categories, URL path to which will not be used in product URL"
"Generate Breadcrumbs According To","Generate Breadcrumbs According To"
