"Address","Địa chỉ"
"Manage Regions","QL Tỉnh/TPTW"
"Manage Cities","QL TP/Quận/Huyện"
"Manage Townships","QL Xã/Phường"
"Import Address","Nhập Địa chỉ"
"Import Type","Import Type"
"Import File","Import File"
"The city %1 has been deleted.","Thành phố %1 đã xóa"
"City to delete was not found.","Không tìm thấy thành phố cần xóa"
"This city no longer exists.","Thành phố không tồn tại"
"Cities Manager","Quản lý Thành phố"
"You saved the city.","Đã lưu Thành phố"
"Something went wrong while saving the city.","Lưu Thành phố không thành công. Có lỗi xảy ra."
"Please select a region, state or province.","--Tỉnh/TPTW--"
"Please select a city.","--Thành phố/Quận/Huyện--"
"Please select a township.","--Phường/Xã--"
"Township","Phường/Xã"
"Address 1 Plh","Số nhà, Tên đường"
"Address 2 Plh","Khu vực"
"Address 3 Plh","Cột mốc"
