"Tracking","Theo dõi",module,Chottvn_Frontend
"Order","Đơn hàng",module,Chottvn_Frontend
"Sign in","Đăng nhập",module,Chottvn_Frontend
"Sign in / Sign up","Đăng nhập",module,Chottvn_Frontend
"Sign in with Facebook","Đăng nhập với Facebook",module,Chottvn_Frontend
"Sign in with Google","Đăng nhập với Google",module,Chottvn_Frontend
"Sign up","Đăng ký",module,Chottvn_Frontend
"Sign out","Thoát Tài khoản",module,Chottvn_Frontend
"Hello %1","Chào %1",module,Chottvn_Frontend
"Account","Tài khoản",module,Chottvn_Frontend
"My Account","Tài khoản của tôi",module,Chottvn_Frontend
"My Orders","Đơn hàng của tôi",module,Chottvn_Frontend
"My Wishlists","Sản phẩm yêu thích",module,Chottvn_Frontend
"My Product Reviews","Nhận xét của tôi",module,Chottvn_Frontend
