"Bank Accounts","Tài khoản Ngân hàng"
"BankAccount","Tài khoản Ngân hàng"
"bank_name","Tên Ngân hàng"
"bank_image","Ảnh Ngân hàng"
"bank_branch","Chi nhánh Ngân hàng"
"account_owner","Tên Tài khoản"
"account_number","Số Tài khoản"
"status","Trạng thái"
"note","Ghi chú"
"order","Thứ tự"
"created_at","Ngày tạo"
"updated_at","Ngày cập nhật"
"Checkout Comment Plh","Ghi chú cho nhân viên giao hàng"
"Account number or bank name has been duplicated.","Số tài khoản hoặc tên ngân hàng đã bị trùng lặp."
"Delete Bankaccount","Xóa"
"Add new BankAccount","Thêm mới"
"Save Bankaccount","Lưu"
"Bank Image","Ảnh Ngân hàng"
"New Bankaccount","Tạo Tài khoản Ngân hàng"
"You saved the Bankaccount.","Bạn đã lưu thành công Tài khoản Ngân hàng."
"Something went wrong while saving the Bankaccount.","Đã xảy ra lỗi khi lưu Tài khoản Ngân hàng."
"This Bankaccount no longer exists.","Tài khoản ngân hàng này không còn tồn tại."
"You deleted the Bankaccount.","Bạn đã xóa thành công Tài khoản Ngân hàng."
"Delete Bankaccount","Xóa Tài khoản Ngân hàng"
"Are you sure you wan't to delete selected Bankaccount?","Bạn có chắc chắn muốn xóa Tài khoản Ngân hàng đã chọn?"
"Please select Bank Transfer Account","Vui lòng chọn Ngân hàng Chuyển khoản"
