"or Sign up with","or Sign up with"
"Sign up with %1","Sign up with %1"
"Have an account already?","Have an account already?"
"Sign in","Sign in"
"Male", "Male"
"Female", "Female"
"Phone Number","Phone Number"
"Email Address or Phone Number","Email Address or Phone Number"
"Email or Phone","Email or Phone"
"Email optional","Email (optional)"
"If you have an account, sign in with your phone number.","If you have an account, sign in with your phone number."
"If you have an account, sign in with your email address or phone number.","If you have an account, sign in with your email address or phone number."
"A customer with the same phone number already exists in an associated website.","A customer with the same phone number already exists in an associated website."
"Please enter your email or phone number","Please enter your email or phone number"
"Phone + Password","Phone + Password"
"Phone/Email + Password", "Phone/Email + Password"
"Change Email and Phone Number","Change Email and Phone Number"
"Change Email","Change Email"
"Input Phone number","Input Phone number"
"Input First name","Input First name"
"Input Last name","Input Last name"
"Input Email","Input Email"
"Input Email (not required)","Input Email (not required)"
"Input Email or Phone number","Input Email or Phone number"
"Input Password 6 to 32 characters","Nhập mật khẩu 6 đến 32 ký tự"
"Input Password","Input Password"
"Input Password confirmation","Nhập số điện thoại"
