"The coupon code isn't valid. Verify the code and try again.","Mã giảm giá/khuyến mãi không hợp lệ."
"The coupon code isn't valid. Verify the code and try again.","Mã giảm giá/khuyến mãi không hợp lệ.",module,Magento_Quote
"Name Prefix","Xưng hô",module,Magento_Customer
"Name Suffix","Name Suffix",module,Magento_Customer
"The requested qty is not available","Số lượng yêu cầu không có sẵn"
"Cancel","Hủy bỏ"
"Delete","Xóa"
"Bank Accounts","Tài khoản Ngân hàng"
"BankAccount","Tài khoản Ngân hàng"
"bank_name","Tên Ngân hàng"
"bank_image","Ảnh Ngân hàng"
"bank_branch","Chi nhánh Ngân hàng"
"account_owner","Tên Tài khoản"
"account_number","Số Tài khoản"
"status","Trạng thái"
"note","Ghi chú"
"order","Thứ tự"
"created_at","Ngày tạo"
"updated_at","Ngày cập nhật"
"Checkout Comment Plh","Ghi chú cho nhân viên giao hàng"
"Account number or bank name has been duplicated.","Số tài khoản hoặc tên ngân hàng đã bị trùng lặp."
"Delete Bankaccount","Xóa"
"Add new BankAccount","Thêm mới"
"Save Bankaccount","Lưu"
"Bank Image","Ảnh Ngân hàng"
"New Bankaccount","Tạo Tài khoản Ngân hàng"
"You saved the Bankaccount.","Bạn đã lưu thành công Tài khoản Ngân hàng."
"Something went wrong while saving the Bankaccount.","Đã xảy ra lỗi khi lưu Tài khoản Ngân hàng."
"This Bankaccount no longer exists.","Tài khoản ngân hàng này không còn tồn tại."
"You deleted the Bankaccount.","Bạn đã xóa thành công Tài khoản Ngân hàng."
"Delete Bankaccount","Xóa Tài khoản Ngân hàng"
"Are you sure you wan't to delete selected Bankaccount?","Bạn có chắc chắn muốn xóa Tài khoản Ngân hàng đã chọn?"
"Please select Bank Transfer Account","Vui lòng chọn Ngân hàng Chuyển khoản"
"Customer Phone Number","Số điện thoại khách hàng"
"Date of Birth","Ngày sinh"
"Gender","Giới tính"
"Name Prefix","Xưng hô"
"Male","Nam"
"Female","Nữ"
"Ship here","Gửi đến địa chỉ này"
"Cancel", "Huỷ bỏ"
"OK", "Đồng ý"
"Shipping & Handling","Phí giao hàng"
"Grand Total","Tổng cộng"
"Subtotal","Tiền hàng"
"Total(temp)","Tạm tính"
"Grand Total(temp)","Tạm tính"
"Price Contact","Liên hệ"
"Grand Total Temp","Tạm tính"
"Customer Info", "Thông tin khách hàng"
"Max Delivery Dates ","Thời gian giao hàng tối đa "
"Date","Ngày"
"Apply Discount Code","Bạn có mã giảm giá/khuyến mãi?",module,Magento_Checkout
"Instructions on how to transfer", "Hướng dẫn cách chuyển khoản",module,Magento_Checkout
"Your Order","Đơn hàng của bạn"
"Guarantee: ","Bảo hành: "
"review turn","lượt đánh giá"
"review turns","lượt đánh giá"
"Show description more","Xem thêm nội dung"
"Shopping cart is empty","Giỏ hàng chưa có sản phẩm"
"Continue shopping","Tiếp tục mua sắm"
"Please select <a href='%1'>shipping address</a> to get estimated delivery time and shipping fee.","Vui lòng chọn <a href='%1'>địa chỉ giao hàng</a> để dự kiến thời gian giao hàng và phí vận chuyển."
"Please select <a class='price-quote-shipping-address' href='%1'>shipping address</a> to get estimated delivery time and shipping fee.","Vui lòng chọn <a href='%1'>địa chỉ giao hàng</a> để dự kiến thời gian giao hàng và phí vận chuyển."
"PQ Please select ","Vui lòng chọn "
"PQ shipping address","địa chỉ giao hàng"
"PQ to get estimated delivery time and shipping fee."," để dự kiến thời gian giao hàng và phí vận chuyển."
"(VAT included)","(đã bao gồm VAT)"
"(VAT excluded)","(chưa bao gồm VAT)"
"not included yet","chưa bao gồm"
"Not included yet","Chưa bao gồm"
"New Address", "Giao đến địa chỉ khác"
"products","sản phẩm"
"Estimated delivery date","Ngày giao hàng dự kiến"
"Delivered at","Đã giao hàng"
"Saving amount","Tiết kiệm"
"Phone number","Số điện thoại"
"Order summary","Thông tin đơn hàng"
"Payment method","Phương thức thanh toán"
"Shipping information","Thông tin giao hàng"
"Payment success", "Thanh toán thành công"
"Place order success", "Đặt hàng thành công"
