"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"Out of stock","Out of stock"
"Item was removed successfully.","Item was removed successfully."
"We can't remove the item.","We can't remove the item."
"We can't find the quote item.","We can't find the quote item."
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart."
"We can't update the item right now.","We can't update the item right now."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","You cleared the comparison list."
"Something went wrong  clearing the comparison list.","Something went wrong  clearing the comparison list."
"You removed product %1 from the comparison list.","You removed product %1 from the comparison list."
"Item was updated successfully.","Item was updated successfully."
"Page not found.","Page not found."
"We can't specify a product.","We can't specify a product."
"%1 has been added to your Wish List.","%1 has been added to your Wish List."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 has been moved to your wish list."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"You removed product from your Wish List.","You removed product from your Wish List."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"Can't save description %1","Can't save description %1"
"Update Wishlist success.","Update Wishlist success."
"Can't update wish list","Can't update wish list"
"%1 has been updated in your Wish List.","%1 has been updated in your Wish List."
"We can't update your Wish List right now.","We can't update your Wish List right now."
Both,Both
"Quick View","Quick View"
"Ajax Cart","Ajax Cart"
Magentech.com,Magentech.com
"SM Cart Quick Pro","SM Cart Quick Pro"
"General Settings","General Settings"
"Enabled Extensions","Enabled Extensions"
"Select Type","Select Type"
"Product Class Container","Product Class Container"
"Button Class Container","Button Class Container"
"Label Button","Label Button"
"Countdown Number","Countdown Number"
"Product Information","Product Information"
