"You added %1 to your shopping cart.","Bạn đã thêm %1 vào giỏ mua hàng của bạn."
"We can't add this item to your shopping cart right now.","Bạn không thể thêm sản phẩm này vào giỏ hàng."
"Out of stock","Hết hàng"
"Item was removed successfully.","Sản phẩm đã được xoá thành công."
"We can't remove the item.","Chúng tôi không thể xoá sản phẩm."
"We can't find the quote item.","Chúng tôi không thể tìm thấy sản phẩm."
"%1 was updated in your shopping cart.","%1 đã được cập nhật trong giỏ hàng của bạn"
"We can't update the item right now.","Chúng tôi không thể cập nhật sản phẩm."
"You added product %1 to the comparison list.","Bạn đã thêm sản phẩm %1 vào danh sách so sánh."
"You cleared the comparison list.","Bạn đã xoá danh sách so sánh."
"Something went wrong  clearing the comparison list.","Something went wrong  clearing the comparison list."
"You removed product %1 from the comparison list.","Bạn đã xoá sản phẩm %1 trong danh sách so sánh."
"Item was updated successfully.","Sản phẩm được cập nhật thành công."
"Page not found.","Không tìm thấy trang."
"We can't specify a product.","Chúng tôi không thể xác định sản phẩm."
"%1 has been added to your Wish List.","%1 đã được thêm vào danh sách yêu thích"
"We can't add the item to Wish List right now: %1.","Chúng tôi không thể thêm sản phẩm vào danh sách yêu thích: %1."
"We can't add the item to Wish List right now.","Chúng tôi không thể thêm sản phẩm vào danh sách yêu thích."
"This product(s) is out of stock.","Sản phẩm hết hàng"
"We can't add the item to the cart right now.","Chúng tôi không thể thêm sản phẩm vào giỏ hàng."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 được thêm vào danh sách yêu thích của bạn."
"We can't move the item to the wish list.","Chúng tôi không thể thêm sản phẩm vào danh sách yêu thích"
"You removed product from your Wish List.","Bạn đã xoá sản phẩm trong danh sách yêu thích của bạn"
"We can't delete the item from Wish List right now because of an error: %1.","Chúng tôi không thể xoá sản phẩm khỏi danh sách yêu thích vì lỗi: %1."
"We can't delete the item from the Wish List right now.","Chúng tôi không thể xoá sản phẩm khỏi danh sách yêu thích."
"We can't delete item from Wish List right now.","Chúng tôi không thể xoá sản phẩm khỏi danh sách yêu thích."
"Can't save description %1","Không thể lưu mô tả %1"
"Update Wishlist success.","Cập nhật danh sách yêu thích thành công."
"Can't update wish list","Không thể cập nhật danh sách yêu thích."
"%1 has been updated in your Wish List.","%1 đã được cập nhật vào danh sách yêu thích của bạn."
"We can't update your Wish List right now.","Chúng tôi không thể cập nhật danh sách yêu thích của bạn."
Both,Both
"Quick View","Xem nhanh"
"Ajax Cart","Ajax Cart"
Magentech.com,Magentech.com
"SM Cart Quick Pro","SM Cart Quick Pro"
"General Settings","General Settings"
"Enabled Extensions","Enabled Extensions"
"Select Type","Select Type"
"Product Class Container","Product Class Container"
"Button Class Container","Button Class Container"
"Label Button","Label Button"
"Countdown Number","Countdown Number"
"Product Information","Thông tin sản phẩm"
