"Create an Account","Đăng ký"
"Sign Up for Newsletter","Gửi cho tôi các chương trình khuyến mãi và tin mới nhất"
"All Categories","Danh Mục Sản Phẩm"
"See All","Xem tất cả"
"Load more","Xem thêm"
"Load more notification","Xem thêm"
"Shopping Cart","Giỏ hàng"
"My Cart - ","Giỏ hàng của tôi - "
"You added %1 product to your shopping cart.","Bạn đã thêm %1 sản phẩm vào giỏ mua hàng của bạn."
"You added %1 products to your shopping cart.","Bạn đã thêm %1 sản phẩm vào giỏ mua hàng của bạn."
"You cannot add a product.","Bạn không thể thêm sản phầm vào giỏ hàng."
"Check out","Thanh toán"
"You must login first!","Vui lòng đăng nhập."
"Edit","Chỉnh sửa"
"Cancel","Hủy bỏ"
"Remove Item","Xóa sản phẩm"
"Remove item","Xóa sản phẩm"
"You removed the item.","Bạn đã xoá sản phẩm."
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Quantity","Số lượng"
"Qty","Số lượng"
"Shopping Cart Items","Sản phẩm trong Giỏ hàng"
"Enter keywords to search...","Bạn đang tìm gì?"
"Your email address","Nhập địa chỉ email của bạn vào đây"
"To","Đến"
"Buy %1 with %2 discount each","Mua %1 được %2 nhận chiết khấu mỗi loại"
"Go back to product details","Quay trở lại chi tiết sản phẩm"
"Customize and Add to Cart","Tùy chỉnh và Thêm vào giỏ hàng"
"Your Customization","Tùy chỉnh của bạn"
"Customize %1","Tùy chỉnh %1",
"No options of this product are available.","Lựa chọn sản phẩm không có sẵn"
"Gift Message","Tin nhắn quà tặng"
"Message:","Tin nhắn:"
"All","Xem tất cả"
"No item specified.","Không xác nhận sản phẩm."
"Are you sure you want to remove this item?","Bạn có chắc rằng bạn muốn xoá sản phẩm này?"
"Item","Sản phẩm"
"Are you sure you want to remove this item?","Bạn có chắc rằng bạn muốn xoá sản phẩm này?"
"Read more >","Xem thêm >"
"My Cart - ","Giỏ hàng của tôi - "
"Go to Top","Đầu trang"
"Top Search:","Tìm kiếm hàng đầu:"
"Search entire store here...","Tìm mọi thứ ở đây..."
"Previous","Trước"
"Next","Sau"
"We can't find brands matching the selection.","Chúng tôi không thể tìm thấy các thương hiệu phù hợp với lựa chọn."
